epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6565,1.52302,4.87621,1.6803,0.62715,0.02713,0.04345,0.03148,1.05619,4.05688,1.23416,8.71046e-05,8.71046e-05,0.067463
2,35.3841,1.23102,4.35638,1.43972,0.50397,0.09431,0.09222,0.07996,0.55066,3.20199,1.0118,0.000174359,0.000174359,0.0342169
3,55.6099,0.7524,3.47113,1.15674,0.67504,0.23804,0.22945,0.2029,0.54271,2.30788,0.94659,0.000259852,0.000259852,0.000969072
4,72.3147,0.66088,2.69977,1.07285,0.69133,0.34834,0.39659,0.35717,0.50272,1.82132,0.91878,0.000259065,0.000259065,0.000259065
5,91.6467,0.60064,2.22216,1.05919,0.58113,0.51617,0.5389,0.50182,0.4152,1.40554,0.89245,0.000256422,0.000256422,0.000256422
6,108.036,0.53629,1.78469,1.00107,0.73081,0.55323,0.62458,0.58353,0.40088,1.27611,0.88809,0.000253778,0.000253778,0.000253778
7,128.19,0.52983,1.6383,1.00477,0.7303,0.63897,0.69496,0.65765,0.35665,1.07377,0.86223,0.000251135,0.000251135,0.000251135
8,144.285,0.50009,1.48203,0.98273,0.76527,0.6739,0.76225,0.72333,0.3528,1.03692,0.85875,0.000248492,0.000248492,0.000248492
9,163.927,0.48598,1.35279,0.96911,0.77165,0.771,0.82471,0.77867,0.36102,0.77543,0.85474,0.000245849,0.000245849,0.000245849
10,181.347,0.46669,1.15127,0.95369,0.85255,0.76492,0.82568,0.78039,0.37652,0.67429,0.86687,0.000243205,0.000243205,0.000243205
11,201.666,0.49525,1.11619,0.97493,0.92276,0.70719,0.84931,0.80015,0.37489,0.63918,0.86041,0.000240562,0.000240562,0.000240562
