epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.35935,0.95433,3.69079,1.06159,0.00083,0.16589,0.00884,0.00282,1.23525,4.47049,2.16223,0.00117925,0.00117925,0.0781792
2,16.6358,0.85433,2.46486,1.01877,0.25582,0.00075,0,0,nan,nan,nan,0.00238591,0.00238591,0.0553859
3,26.3615,0.8588,2.08687,1.01555,0.00074,0.09767,0.00586,0.00135,3.25065,inf,9.46867,0.00356821,0.00356821,0.0325682
4,34.6991,0.79489,1.88403,0.99289,0.04658,0.01938,5e-05,1e-05,2.89323,inf,5.29021,0.00472615,0.00472615,0.00972615
5,44.7889,0.82754,1.74182,1.00855,0,0,0,0,3.44988,inf,17.3858,0.00492413,0.00492413,0.00492413
6,52.7662,0.81179,1.63091,0.98667,0.21512,0.00233,0.00236,0.00064,3.12181,161.68,4.71188,0.00487337,0.00487337,0.00487337
7,62.9481,0.79103,1.55082,0.98149,0.39281,0.13026,0.08843,0.06416,1.39654,6.90565,1.57598,0.00482262,0.00482262,0.00482262
8,71.5099,0.73422,1.39975,0.94387,0.54423,0.33234,0.28224,0.22979,0.87636,4.86484,1.04283,0.00477186,0.00477186,0.00477186
9,81.4385,0.747,1.27939,0.9516,0.0362,0.10845,0.04738,0.0238,1.80412,13.3133,2.03796,0.0047211,0.0047211,0.0047211
10,89.3051,0.71232,1.24601,0.92956,0.31419,0.42964,0.30653,0.24477,0.86483,2.9096,0.99,0.00467034,0.00467034,0.00467034
11,98.7396,0.69318,1.1668,0.94006,0.42104,0.41839,0.33652,0.26902,0.87302,3.70867,0.99546,0.00461958,0.00461958,0.00461958
12,106.513,0.67517,1.17187,0.93431,0.84139,0.38184,0.54652,0.43859,0.79896,2.22744,0.95232,0.00456882,0.00456882,0.00456882
13,116.157,0.67279,1.10231,0.92112,0.51593,0.24136,0.19247,0.15998,0.94122,18.2682,1.06325,0.00451806,0.00451806,0.00451806
14,124.283,0.684,1.04784,0.93354,0.58752,0.38028,0.47221,0.36197,0.91909,1.99717,0.99976,0.0044673,0.0044673,0.0044673
15,134.347,0.6905,1.04807,0.92466,0.58668,0.41869,0.50235,0.39656,0.93627,3.19531,0.98555,0.00441654,0.00441654,0.00441654
16,142.379,0.6617,0.95631,0.92305,0.51161,0.51947,0.52952,0.45036,0.65405,2.87833,0.90395,0.00436578,0.00436578,0.00436578
17,152.022,0.69441,0.99358,0.93922,0.54388,0.61364,0.6622,0.50386,0.97142,1.92224,1.00205,0.00431503,0.00431503,0.00431503
18,159.785,0.64817,0.92228,0.91773,0.46303,0.5898,0.6132,0.52538,0.69718,1.72806,0.90578,0.00426427,0.00426427,0.00426427
19,169.117,0.65008,0.84492,0.91569,0.5096,0.60722,0.64292,0.49306,0.96418,2.14958,1.0126,0.00421351,0.00421351,0.00421351
20,177.149,0.6606,0.90051,0.91924,0.71742,0.49059,0.76243,0.67136,0.6015,1.45576,0.87185,0.00416275,0.00416275,0.00416275
21,186.951,0.64714,0.82912,0.91903,0.6854,0.5375,0.73814,0.61424,0.72899,1.39119,0.91728,0.00411199,0.00411199,0.00411199
22,195.221,0.62216,0.82993,0.90936,0.70705,0.81092,0.88227,0.71953,0.7597,0.91756,0.91931,0.00406123,0.00406123,0.00406123
23,204.777,0.62289,0.76592,0.91183,0.77223,0.60326,0.8761,0.72965,0.7342,1.27105,0.91101,0.00401047,0.00401047,0.00401047
24,212.618,0.65157,0.83195,0.9198,0.66808,0.78764,0.86411,0.72378,0.68764,0.92651,0.90126,0.00395971,0.00395971,0.00395971
25,221.95,0.6353,0.74507,0.91372,0.67458,0.8314,0.88924,0.7629,0.65649,0.81296,0.88677,0.00390895,0.00390895,0.00390895
26,230.071,0.62127,0.74681,0.90625,0.66708,0.71939,0.81548,0.70117,0.64232,1.34328,0.90273,0.0038582,0.0038582,0.0038582
27,240.066,0.62649,0.70102,0.90952,0.67772,0.88672,0.91334,0.75515,0.72465,0.76246,0.90364,0.00380744,0.00380744,0.00380744
28,248.576,0.62064,0.75511,0.91244,0.65554,0.75329,0.82111,0.6941,0.72575,1.09773,0.91112,0.00375668,0.00375668,0.00375668
29,258.42,0.62857,0.77227,0.90871,0.66174,0.8544,0.87397,0.73091,0.74832,1.08486,0.91463,0.00370592,0.00370592,0.00370592
30,266.196,0.58986,0.6931,0.9029,0.63269,0.90268,0.91928,0.76638,0.72638,0.77962,0.90157,0.00365516,0.00365516,0.00365516
31,275.424,0.60994,0.7275,0.90756,0.65789,0.82864,0.95183,0.83865,0.57264,0.9458,0.86159,0.0036044,0.0036044,0.0036044
32,283.354,0.62136,0.70571,0.90614,0.69249,0.74753,0.86018,0.7376,0.60932,0.91408,0.87398,0.00355364,0.00355364,0.00355364
33,292.806,0.58967,0.62828,0.88941,0.74167,0.94722,0.98478,0.78831,0.84679,0.67928,0.9463,0.00350288,0.00350288,0.00350288
34,301.031,0.61293,0.60206,0.90139,0.71005,0.87688,0.94703,0.77733,0.79139,0.81646,0.93296,0.00345212,0.00345212,0.00345212
35,311.04,0.5909,0.62348,0.90427,0.73559,0.87708,0.91938,0.76631,0.7398,0.70256,0.92161,0.00340136,0.00340136,0.00340136
