epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0832,1.34898,3.3471,1.57912,0.31004,0.41532,0.16532,0.1064,1.30795,14.8164,1.43171,0.000255048,0.000255048,0.0676309
2,31.4189,1.01424,2.30171,1.23731,0.56418,0.37871,0.38788,0.2625,1.25356,12.0862,1.44277,0.000510536,0.000510536,0.0345531
3,48.7577,1.05875,2.12128,1.25301,0.43037,0.25662,0.21895,0.14062,1.33382,inf,1.5757,0.000760865,0.000760865,0.00147008
4,63.2343,1.02918,1.9696,1.24133,0.40338,0.40447,0.36415,0.27271,0.9806,5.25834,1.19008,0.00075856,0.00075856,0.00075856
5,79.9617,1.03003,1.79835,1.24706,0.65707,0.47217,0.63471,0.45393,1.16474,2.69573,1.26815,0.00075082,0.00075082,0.00075082
6,94.9092,0.96638,1.68105,1.22551,0.5782,0.57354,0.66397,0.38426,1.64743,2.76788,1.72286,0.000743081,0.000743081,0.000743081
7,111.617,0.98778,1.63507,1.21576,0.64171,0.65244,0.71006,0.5442,0.95635,1.56253,1.14542,0.000735341,0.000735341,0.000735341
8,126.109,0.92323,1.40748,1.17628,0.66634,0.53305,0.74206,0.46319,1.41366,1.61863,1.47618,0.000727601,0.000727601,0.000727601
9,142.755,0.98079,1.47855,1.21776,0.5184,0.60204,0.66469,0.485,1.08561,1.57049,1.16984,0.000719862,0.000719862,0.000719862
10,157.318,0.93537,1.36686,1.18081,0.60435,0.71358,0.79845,0.61196,0.99362,1.47651,1.15992,0.000712122,0.000712122,0.000712122
11,174.196,0.91967,1.25973,1.1863,0.62397,0.75798,0.84127,0.56362,1.2752,1.1981,1.36368,0.000704383,0.000704383,0.000704383
12,189.353,0.94368,1.20234,1.19511,0.59481,0.86554,0.90995,0.63664,1.24669,1.12185,1.30863,0.000696643,0.000696643,0.000696643
13,206.565,0.94256,1.22907,1.20726,0.62709,0.79973,0.87986,0.68046,0.96592,1.10499,1.11232,0.000688903,0.000688903,0.000688903
14,221.175,0.8822,1.11346,1.16612,0.77175,0.71172,0.88981,0.60845,1.20963,1.06162,1.30901,0.000681164,0.000681164,0.000681164
15,237.951,0.91347,1.16074,1.17904,0.64466,0.82987,0.93056,0.65461,1.2609,0.98836,1.30792,0.000673424,0.000673424,0.000673424
16,253.227,0.88777,1.09512,1.16967,0.80153,0.77549,0.9282,0.67098,1.13226,0.8725,1.23308,0.000665685,0.000665685,0.000665685
17,270.384,0.89639,1.09452,1.18602,0.6538,0.82885,0.86226,0.62361,1.23746,0.99857,1.26976,0.000657945,0.000657945,0.000657945
18,284.957,0.89563,1.02159,1.17311,0.75929,0.84802,0.94232,0.6547,1.33755,0.80809,1.34043,0.000650205,0.000650205,0.000650205
19,302.4,0.8853,0.95401,1.1647,0.85269,0.69689,0.89882,0.61849,1.25163,0.87426,1.31604,0.000642466,0.000642466,0.000642466
20,317.492,0.93982,1.00954,1.19426,0.78143,0.78262,0.95989,0.74862,0.96487,0.79016,1.12755,0.000634726,0.000634726,0.000634726
21,334.314,0.91111,0.9594,1.18708,0.61248,0.88994,0.94213,0.68341,1.15885,0.87291,1.21023,0.000626987,0.000626987,0.000626987
22,349.149,0.88456,0.95852,1.16405,0.8077,0.75761,0.91123,0.69252,1.03601,0.85323,1.15616,0.000619247,0.000619247,0.000619247
23,366.371,0.88021,0.88952,1.16285,0.77377,0.82725,0.94933,0.64353,1.3145,0.88476,1.37028,0.000611507,0.000611507,0.000611507
24,381.545,0.87362,0.88558,1.14675,0.82589,0.83803,0.9609,0.63397,1.41517,0.8216,1.40432,0.000603768,0.000603768,0.000603768
25,398.232,0.89505,0.91688,1.16463,0.70717,0.92311,0.95028,0.66786,1.22779,0.76769,1.27397,0.000596028,0.000596028,0.000596028
26,413.226,0.86333,0.8274,1.14486,0.84152,0.83983,0.96343,0.65591,1.35788,0.75513,1.38114,0.000588288,0.000588288,0.000588288
27,430.707,0.87934,0.81274,1.16085,0.65994,0.97623,0.96704,0.66152,1.33898,0.82135,1.35555,0.000580549,0.000580549,0.000580549
28,445.693,0.84461,0.81889,1.1497,0.65534,0.95714,0.98321,0.64533,1.39438,0.77828,1.40984,0.000572809,0.000572809,0.000572809
29,462.543,0.86929,0.80447,1.16011,0.77149,0.88042,0.96179,0.68335,1.25358,0.76638,1.29273,0.00056507,0.00056507,0.00056507
30,477.516,0.84794,0.792,1.14446,0.85637,0.86048,0.98111,0.68154,1.2906,0.73111,1.32687,0.00055733,0.00055733,0.00055733
31,494.785,0.82748,0.74375,1.12429,0.74674,0.93157,0.97814,0.7181,1.12493,0.64805,1.20525,0.00054959,0.00054959,0.00054959
32,509.476,0.88013,0.75352,1.16335,0.83971,0.84549,0.98252,0.73774,0.98166,0.68399,1.12408,0.000541851,0.000541851,0.000541851
33,526.159,0.85426,0.76429,1.14335,0.8525,0.88399,0.9676,0.69488,1.22513,0.68446,1.26343,0.000534111,0.000534111,0.000534111
34,541.224,0.82403,0.735,1.12763,0.8274,0.86843,0.94314,0.70314,1.10567,0.69355,1.18104,0.000526372,0.000526372,0.000526372
35,558.789,0.83842,0.72627,1.15144,0.72514,0.94211,0.97725,0.66891,1.38454,0.70785,1.4005,0.000518632,0.000518632,0.000518632
36,573.576,0.84579,0.69663,1.12756,0.78367,0.94103,0.98566,0.71133,1.21833,0.59168,1.26149,0.000510892,0.000510892,0.000510892
37,590.259,0.83351,0.69531,1.12789,0.77448,0.9373,0.97242,0.66371,1.25827,0.65755,1.3144,0.000503153,0.000503153,0.000503153
38,605.589,0.8258,0.67197,1.12867,0.76506,0.96212,0.96679,0.67376,1.2539,0.671,1.30984,0.000495413,0.000495413,0.000495413
39,622.968,0.82706,0.69293,1.13633,0.8864,0.95116,0.98462,0.78082,0.98706,0.57373,1.09822,0.000487674,0.000487674,0.000487674
40,637.712,0.84566,0.67333,1.13575,0.89343,0.88071,0.98409,0.76804,0.90986,0.56416,1.08059,0.000479934,0.000479934,0.000479934
41,654.157,0.83922,0.66816,1.1431,0.82351,0.95853,0.97533,0.75557,0.91174,0.53592,1.07469,0.000472194,0.000472194,0.000472194
42,668.932,0.83965,0.67834,1.13415,0.81079,0.94302,0.98298,0.73174,1.07738,0.60707,1.16565,0.000464455,0.000464455,0.000464455
43,685.837,0.82748,0.67544,1.13452,0.84161,0.96547,0.98536,0.70098,1.22615,0.56845,1.27831,0.000456715,0.000456715,0.000456715
44,700.731,0.82359,0.64493,1.12318,0.86923,0.94997,0.98061,0.70786,1.20541,0.61255,1.26358,0.000448976,0.000448976,0.000448976
45,718.328,0.79163,0.60989,1.1205,0.85992,0.95368,0.98074,0.68757,1.30208,0.63591,1.33375,0.000441236,0.000441236,0.000441236
46,733.802,0.79253,0.64094,1.10535,0.86254,0.88518,0.98268,0.65951,1.39657,0.6701,1.43959,0.000433496,0.000433496,0.000433496
47,750.7,0.82426,0.6224,1.13299,0.9064,0.89395,0.97809,0.71526,1.1095,0.5659,1.20887,0.000425757,0.000425757,0.000425757
48,765.609,0.7897,0.60734,1.11558,0.85801,0.95107,0.98814,0.78226,0.96459,0.49731,1.10827,0.000418017,0.000418017,0.000418017
