epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.46868,1.42267,4.59909,1.3761,0,0,0,0,0.8584,4.47707,0.9432,0.000717129,0.000717129,0.068093
2,18.8708,0.88466,4.13576,1.04022,0.02883,0.27326,0.09592,0.07283,0.9729,3.69419,0.95888,0.0014355,0.0014355,0.035478
3,29.5573,0.87072,3.5363,1.03768,0.54296,0.20427,0.22175,0.17546,0.80819,2.78999,0.93694,0.00213935,0.00213935,0.00284857
4,38.6919,0.87073,2.86616,1.04993,0.5443,0.27627,0.30777,0.20196,1.34518,2.40504,1.18051,0.00213287,0.00213287,0.00213287
