epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.759,2.01478,5.16711,2.59433,0.64387,0.03968,0.06969,0.0498,1.23652,4.33316,1.38621,7.52278e-05,7.52278e-05,0.0950752
2,465.245,1.42559,4.89001,1.85575,0.39793,0.31035,0.1864,0.10968,1.59856,7.15986,1.5382,0.000163863,0.000163863,0.0891639
3,720.868,0.91925,2.63717,1.19315,0.12869,0.74187,0.16788,0.11887,1.28963,inf,1.47562,0.00025071,0.00025071,0.0832507
4,986.261,0.79518,1.91345,1.11347,0.08773,0.73177,0.15526,0.1006,1.489,inf,1.7776,0.00033577,0.00033577,0.0773358
5,1258.64,0.81875,1.61071,1.11858,0.11995,0.6426,0.2151,0.15958,1.30535,inf,1.72871,0.000419043,0.000419043,0.071419
6,1502.88,0.74788,1.26464,1.06435,0.11804,0.68031,0.18667,0.11066,1.33335,inf,1.99503,0.000500528,0.000500528,0.0655005
