epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.82846,1.38498,5.26589,1.52487,0.49126,0.25659,0.16424,0.13029,0.91196,3.67612,1.03574,0.000165962,0.000165962,0.077166
2,17.2413,0.83303,2.12089,1.09668,0.28725,0.47331,0.29412,0.21818,0.99516,4.41315,1.12195,0.000335783,0.000335783,0.0533358
3,26.7872,0.82141,1.76647,1.05539,0.49783,0.61606,0.52507,0.41474,0.85563,4.04316,1.05473,0.000502175,0.000502175,0.0295022
4,34.7045,0.81548,1.58959,1.06903,0.58681,0.58637,0.58366,0.44191,0.91765,2.64349,1.07227,0.000665138,0.000665138,0.00566514
5,44.2044,0.83614,1.55415,1.07687,0.5794,0.52281,0.54171,0.43988,0.78789,3.13868,0.98628,0.000693001,0.000693001,0.000693001
6,52.079,0.81886,1.37481,1.0651,0.74476,0.53365,0.71392,0.5533,0.95388,1.80075,1.09801,0.000685858,0.000685858,0.000685858
7,61.8163,0.809,1.24422,1.07048,0.53406,0.75519,0.71167,0.60516,0.70218,2.30009,0.95344,0.000678714,0.000678714,0.000678714
8,70.0451,0.83974,1.27511,1.09584,0.78986,0.74949,0.83947,0.67553,0.82207,1.15315,0.99612,0.00067157,0.00067157,0.00067157
9,79.8244,0.7782,1.13616,1.04817,0.69648,0.77479,0.85313,0.68966,0.80991,1.1738,0.98163,0.000664427,0.000664427,0.000664427
10,87.4869,0.78514,1.04844,1.05836,0.75035,0.70235,0.85209,0.68125,0.85695,1.44814,1.00678,0.000657283,0.000657283,0.000657283
11,96.7182,0.79945,1.01289,1.06032,0.55184,0.84467,0.85813,0.71037,0.78696,1.51513,0.96361,0.00065014,0.00065014,0.00065014
12,104.482,0.76665,0.94866,1.03482,0.64829,0.80245,0.835,0.7166,0.68197,1.08754,0.93099,0.000642996,0.000642996,0.000642996
13,114.101,0.77176,0.95166,1.03633,0.65887,0.74857,0.81268,0.67432,0.74488,1.05755,0.97303,0.000635852,0.000635852,0.000635852
14,122.103,0.75659,0.86764,1.0453,0.79629,0.70353,0.87217,0.73046,0.74939,1.06102,0.95659,0.000628709,0.000628709,0.000628709
15,131.812,0.75151,0.85422,1.02679,0.61989,0.89941,0.93258,0.76124,0.84848,0.88336,1.00806,0.000621565,0.000621565,0.000621565
16,140.003,0.74515,0.84618,1.02321,0.59109,0.86088,0.89857,0.70909,0.93531,1.01515,1.04689,0.000614422,0.000614422,0.000614422
17,149.386,0.76212,0.83425,1.02803,0.68992,0.87777,0.90318,0.70843,0.96285,0.84594,1.04151,0.000607278,0.000607278,0.000607278
18,157.008,0.75138,0.80946,1.02157,0.79217,0.87304,0.94519,0.73476,0.99729,0.70968,1.07299,0.000600134,0.000600134,0.000600134
19,166.131,0.72359,0.76674,1.01167,0.86211,0.80471,0.92802,0.74107,0.92973,0.81185,1.04762,0.000592991,0.000592991,0.000592991
20,174.059,0.75416,0.74448,1.0139,0.84932,0.87459,0.9709,0.76028,0.9594,0.70734,1.05683,0.000585847,0.000585847,0.000585847
21,183.959,0.76451,0.70193,1.04184,0.70732,0.91895,0.97005,0.74226,0.99607,0.73014,1.07979,0.000578704,0.000578704,0.000578704
22,191.883,0.73028,0.68853,1.00537,0.74573,0.80143,0.89614,0.68373,1.07468,0.91983,1.14394,0.00057156,0.00057156,0.00057156
23,201.622,0.71087,0.71132,0.9938,0.88235,0.85435,0.96786,0.79601,0.81719,0.64074,0.99134,0.000564416,0.000564416,0.000564416
24,209.495,0.73209,0.73588,1.01494,0.76859,0.81319,0.93783,0.78502,0.78818,0.77244,0.97427,0.000557273,0.000557273,0.000557273
25,218.729,0.71335,0.69173,0.99457,0.90456,0.79683,0.93671,0.79145,0.73252,0.65876,0.96111,0.000550129,0.000550129,0.000550129
26,226.37,0.70295,0.65395,1.00999,0.68773,0.91284,0.89907,0.74414,0.84887,0.74231,0.99741,0.000542986,0.000542986,0.000542986
27,235.891,0.69684,0.62372,0.99699,0.79714,0.83257,0.94094,0.74577,0.98827,0.72216,1.06935,0.000535842,0.000535842,0.000535842
28,243.85,0.70909,0.64801,1.00577,0.8023,0.86119,0.96638,0.77463,0.90422,0.67625,1.02382,0.000528698,0.000528698,0.000528698
