epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2854,2.15482,4.93619,2.53078,0.76912,0.12349,0.12579,0.08177,1.12703,3.85595,1.31274,5.71226e-05,5.71226e-05,0.0890571
2,19.8639,1.017,2.71597,1.2448,0.62165,0.2435,0.20365,0.13476,1.17289,4.93101,1.21611,0.000118256,0.000118256,0.0771183
3,31.4471,0.97952,1.94754,1.16622,0.39526,0.58465,0.35241,0.23611,1.28613,6.33983,1.15914,0.000178155,0.000178155,0.0651782
4,41.7914,0.90935,1.50912,1.11244,0.47456,0.56715,0.54452,0.44601,0.72919,3.69169,0.96183,0.000236821,0.000236821,0.0532368
