epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3903,1.63066,5.12377,1.62436,0.41867,0.22558,0.10512,0.08775,0.67128,3.93903,0.9386,0.00217449,0.00217449,0.0791745
2,20.4809,0.81827,2.50301,1.08406,0.32172,0.50198,0.39487,0.34105,0.6827,2.89695,0.92315,0.00439953,0.00439953,0.0573995
3,31.9277,0.76573,1.81735,1.04336,0.63672,0.39421,0.43493,0.37999,0.6382,4.31603,0.91359,0.00657965,0.00657965,0.0355796
4,41.0655,0.75955,1.66533,1.02257,0.71678,0.36362,0.43591,0.35141,0.76893,2.69007,0.97388,0.00871484,0.00871484,0.0137148
5,51.9196,0.77884,1.50885,1.0199,0.37283,0.59173,0.40934,0.33193,0.84334,3.42749,1.00655,0.00907992,0.00907992,0.00907992
6,61.208,0.80125,1.43191,1.03647,0.42058,0.55275,0.46945,0.36551,0.94407,2.98738,1.07714,0.00898632,0.00898632,0.00898632
7,73.041,0.79197,1.25101,1.02435,0.70743,0.55047,0.68897,0.55742,0.90626,1.92777,1.04582,0.00889272,0.00889272,0.00889272
8,82.6418,0.78762,1.18497,1.01587,0.75641,0.58847,0.70253,0.57641,0.7195,1.46134,0.96491,0.00879912,0.00879912,0.00879912
9,93.6339,0.78958,1.13553,1.02574,0.55526,0.62103,0.69247,0.59313,0.63117,1.44791,0.93399,0.00870553,0.00870553,0.00870553
10,102.542,0.74582,1.01966,0.9954,0.64106,0.58136,0.6723,0.54822,0.79879,1.59782,1.01701,0.00861193,0.00861193,0.00861193
11,113.36,0.77867,1.03132,1.01894,0.82036,0.71237,0.82003,0.68279,0.7361,1.04437,0.9589,0.00851833,0.00851833,0.00851833
12,122.653,0.74552,1.0045,1.00614,0.69158,0.86078,0.8767,0.72234,0.79773,1.20933,1.00394,0.00842473,0.00842473,0.00842473
13,133.776,0.77047,0.94357,1.02272,0.65839,0.80508,0.87199,0.74226,0.63633,0.96601,0.91878,0.00833114,0.00833114,0.00833114
14,143.201,0.74827,0.92322,0.99943,0.62178,0.87765,0.93615,0.74538,0.85748,0.87796,1.01473,0.00823754,0.00823754,0.00823754
15,154.423,0.73854,0.88188,0.99182,0.73475,0.79933,0.89419,0.74723,0.66652,0.78021,0.92662,0.00814394,0.00814394,0.00814394
16,163.604,0.74616,0.85902,0.9963,0.6921,0.90602,0.93966,0.76517,0.77318,0.8198,0.98045,0.00805034,0.00805034,0.00805034
17,174.858,0.72602,0.80441,0.98899,0.77543,0.81759,0.9287,0.76529,0.81382,0.79166,0.99144,0.00795674,0.00795674,0.00795674
18,183.714,0.73213,0.83424,0.98801,0.85688,0.6972,0.89143,0.74291,0.79788,0.82907,0.96115,0.00786315,0.00786315,0.00786315
19,195.034,0.75211,0.8645,1.00466,0.70286,0.82561,0.85948,0.71117,0.75806,0.89584,0.96379,0.00776955,0.00776955,0.00776955
20,204.232,0.74607,0.78019,1.00375,0.82528,0.67421,0.85822,0.73299,0.62448,1.36544,0.90186,0.00767595,0.00767595,0.00767595
21,215.431,0.70535,0.79157,0.98411,0.78132,0.83045,0.94427,0.78585,0.75312,0.78977,0.95592,0.00758235,0.00758235,0.00758235
22,224.23,0.71226,0.72842,0.974,0.74075,0.74792,0.86432,0.71714,0.73795,0.91159,0.95117,0.00748876,0.00748876,0.00748876
23,234.919,0.7181,0.79971,0.99194,0.57576,0.69818,0.76721,0.6461,0.74511,1.54871,0.95217,0.00739516,0.00739516,0.00739516
24,244.132,0.72372,0.78407,0.98442,0.66526,0.8499,0.93578,0.80626,0.65093,0.6697,0.91815,0.00730156,0.00730156,0.00730156
25,255.11,0.71354,0.71388,0.98792,0.82761,0.82856,0.93116,0.77719,0.70936,0.83851,0.9338,0.00720796,0.00720796,0.00720796
26,264.456,0.71517,0.75886,0.98159,0.60523,0.74843,0.79815,0.67751,0.69544,1.15658,0.92374,0.00711437,0.00711437,0.00711437
27,275.474,0.70635,0.66558,0.98554,0.72837,0.84404,0.92942,0.70296,0.98065,0.80399,1.08536,0.00702077,0.00702077,0.00702077
28,284.339,0.70297,0.69068,0.9794,0.72154,0.57205,0.74493,0.52444,1.31462,1.63295,1.28335,0.00692717,0.00692717,0.00692717
29,295.119,0.70065,0.67282,0.97765,0.70585,0.9023,0.9115,0.75135,0.77969,0.80563,0.97399,0.00683357,0.00683357,0.00683357
30,304.319,0.70107,0.72572,0.98848,0.86857,0.7928,0.92566,0.81339,0.58571,0.70315,0.89879,0.00673998,0.00673998,0.00673998
31,315.442,0.70246,0.67113,0.98313,0.85475,0.91963,0.98654,0.84605,0.68059,0.52046,0.93741,0.00664638,0.00664638,0.00664638
32,325.087,0.71948,0.66743,0.99575,0.66686,0.81662,0.91355,0.74403,0.83761,1.24876,0.98113,0.00655278,0.00655278,0.00655278
33,336.18,0.69304,0.626,0.9788,0.8436,0.90097,0.96259,0.82506,0.65919,0.57876,0.91193,0.00645918,0.00645918,0.00645918
34,345.278,0.68436,0.64046,0.97385,0.86632,0.90559,0.96389,0.81661,0.74255,0.53986,0.94656,0.00636558,0.00636558,0.00636558
35,356.303,0.69447,0.63004,0.98434,0.84259,0.9708,0.97533,0.8267,0.74285,0.46118,0.95455,0.00627199,0.00627199,0.00627199
36,365.468,0.66645,0.61043,0.97131,0.93201,0.86513,0.98596,0.84297,0.75059,0.50396,0.94685,0.00617839,0.00617839,0.00617839
37,376.544,0.68151,0.6494,0.97548,0.85886,0.82511,0.93922,0.8059,0.65179,0.62868,0.92162,0.00608479,0.00608479,0.00608479
38,385.796,0.6898,0.63016,0.97276,0.87232,0.90343,0.95935,0.82695,0.60673,0.62007,0.9071,0.00599119,0.00599119,0.00599119
39,397.004,0.67639,0.60879,0.96892,0.79475,0.86004,0.96321,0.87177,0.4899,0.57794,0.85878,0.0058976,0.0058976,0.0058976
40,405.602,0.6696,0.57583,0.96374,0.84445,0.95884,0.98838,0.8796,0.5671,0.43072,0.88572,0.005804,0.005804,0.005804
41,416.489,0.6828,0.62134,0.97967,0.84018,0.85126,0.96156,0.82035,0.65389,0.58615,0.90504,0.0057104,0.0057104,0.0057104
42,425.49,0.6726,0.59806,0.96829,0.85857,0.87539,0.98187,0.864,0.56315,0.55069,0.873,0.0056168,0.0056168,0.0056168
43,436.859,0.66433,0.58546,0.96735,0.85629,0.79248,0.94545,0.84297,0.55735,0.77001,0.88056,0.00552321,0.00552321,0.00552321
44,447.024,0.67818,0.58181,0.97632,0.86802,0.98563,0.99084,0.89291,0.51473,0.3524,0.85685,0.00542961,0.00542961,0.00542961
45,459.257,0.66638,0.6193,0.967,0.83249,0.92072,0.98715,0.86234,0.64174,0.46829,0.90082,0.00533601,0.00533601,0.00533601
46,468.749,0.65784,0.58389,0.95726,0.93594,0.90621,0.98443,0.8415,0.66955,0.45783,0.91594,0.00524241,0.00524241,0.00524241
47,479.7,0.68167,0.57415,0.97359,0.88254,0.98007,0.99068,0.88975,0.55691,0.37797,0.88245,0.00514882,0.00514882,0.00514882
48,489.245,0.65394,0.56109,0.95892,0.80254,0.86623,0.93738,0.77291,0.77169,0.69463,0.96591,0.00505522,0.00505522,0.00505522
49,500.722,0.65697,0.55328,0.96209,0.92763,0.93106,0.984,0.8806,0.58398,0.3979,0.87965,0.00496162,0.00496162,0.00496162
50,510.156,0.6665,0.56453,0.95928,0.84835,0.95934,0.98678,0.89389,0.53633,0.40361,0.8683,0.00486802,0.00486802,0.00486802
51,521.042,0.66666,0.55404,0.96501,0.78729,0.90407,0.96749,0.87696,0.49417,0.50724,0.85869,0.00477442,0.00477442,0.00477442
52,530.356,0.64845,0.54843,0.96321,0.88968,0.91334,0.98798,0.84658,0.68688,0.46138,0.9171,0.00468083,0.00468083,0.00468083
53,541.097,0.61388,0.51925,0.94933,0.90427,0.94891,0.98483,0.8847,0.57515,0.36528,0.87919,0.00458723,0.00458723,0.00458723
54,550.277,0.6364,0.54023,0.94917,0.90809,0.94118,0.99054,0.87854,0.5914,0.37608,0.88995,0.00449363,0.00449363,0.00449363
55,561.6,0.6392,0.5349,0.95361,0.93349,0.95339,0.98861,0.88965,0.5324,0.32657,0.8638,0.00440003,0.00440003,0.00440003
56,571.001,0.63876,0.50776,0.95385,0.92976,0.95088,0.98261,0.82792,0.74929,0.41671,0.94919,0.00430644,0.00430644,0.00430644
57,581.845,0.62694,0.50163,0.95933,0.83037,0.91999,0.97686,0.79953,0.79194,0.54573,0.94957,0.00421284,0.00421284,0.00421284
58,590.817,0.63286,0.52309,0.95274,0.86086,0.94705,0.98587,0.86652,0.62822,0.41212,0.89095,0.00411924,0.00411924,0.00411924
59,601.915,0.64996,0.501,0.96606,0.91619,0.90659,0.96599,0.85354,0.56947,0.4222,0.87445,0.00402564,0.00402564,0.00402564
60,611.135,0.63442,0.50779,0.95093,0.92033,0.98761,0.98648,0.88687,0.50156,0.32118,0.86086,0.00393205,0.00393205,0.00393205
61,622.429,0.62051,0.5234,0.94501,0.92469,0.95353,0.98526,0.89384,0.49217,0.35265,0.85212,0.00383845,0.00383845,0.00383845
62,632.019,0.61103,0.48702,0.94417,0.89651,0.96446,0.98627,0.87223,0.59833,0.35701,0.88572,0.00374485,0.00374485,0.00374485
63,642.612,0.6331,0.48104,0.95269,0.88567,0.95316,0.99043,0.89672,0.53469,0.36882,0.86878,0.00365125,0.00365125,0.00365125
64,651.367,0.61624,0.50267,0.94731,0.94363,0.98554,0.9908,0.92328,0.44086,0.30907,0.83897,0.00355766,0.00355766,0.00355766
65,662.107,0.6182,0.49647,0.95875,0.95974,0.92403,0.97646,0.84142,0.68897,0.41811,0.91127,0.00346406,0.00346406,0.00346406
66,671.266,0.62263,0.49653,0.95686,0.91489,0.93071,0.97404,0.86779,0.55815,0.42078,0.87115,0.00337046,0.00337046,0.00337046
67,682.443,0.59095,0.47557,0.93838,0.94526,0.976,0.99055,0.92004,0.42324,0.30364,0.83318,0.00327686,0.00327686,0.00327686
68,691.902,0.61071,0.47053,0.94275,0.92656,0.96765,0.99074,0.88299,0.55415,0.32945,0.86561,0.00318327,0.00318327,0.00318327
69,702.767,0.61549,0.47169,0.94439,0.93028,0.97059,0.99078,0.89345,0.47041,0.29653,0.84647,0.00308967,0.00308967,0.00308967
70,711.73,0.59731,0.4583,0.93636,0.95646,0.96032,0.98808,0.87397,0.58572,0.34042,0.87807,0.00299607,0.00299607,0.00299607
71,722.532,0.63214,0.47964,0.94831,0.92052,0.95816,0.98751,0.83843,0.74524,0.39959,0.93724,0.00290247,0.00290247,0.00290247
72,732.324,0.60372,0.45253,0.93837,0.92623,0.95946,0.98876,0.89897,0.48043,0.32857,0.8524,0.00280887,0.00280887,0.00280887
73,743.678,0.62471,0.4526,0.94546,0.90607,0.95424,0.98765,0.86443,0.62628,0.38268,0.89562,0.00271528,0.00271528,0.00271528
74,753.028,0.59098,0.44123,0.93149,0.9173,0.93919,0.98465,0.89474,0.50438,0.32797,0.85488,0.00262168,0.00262168,0.00262168
75,763.972,0.57719,0.47112,0.92895,0.94083,0.96335,0.98939,0.90945,0.51796,0.32868,0.85997,0.00252808,0.00252808,0.00252808
76,773.239,0.59778,0.44712,0.93351,0.92242,0.97586,0.98366,0.89542,0.52019,0.32426,0.86335,0.00243448,0.00243448,0.00243448
77,784.147,0.59593,0.44538,0.93839,0.89219,0.97245,0.98758,0.87789,0.62058,0.34216,0.89533,0.00234089,0.00234089,0.00234089
78,793.692,0.57589,0.43481,0.93237,0.90984,0.98896,0.9883,0.91323,0.48019,0.30013,0.84625,0.00224729,0.00224729,0.00224729
79,805.096,0.58982,0.43346,0.93313,0.94653,0.95568,0.9896,0.8997,0.52389,0.31556,0.86224,0.00215369,0.00215369,0.00215369
80,814.35,0.57973,0.40174,0.9247,0.956,0.96518,0.98631,0.90248,0.50012,0.29797,0.84789,0.00206009,0.00206009,0.00206009
81,825.141,0.5702,0.41508,0.92935,0.93976,0.98803,0.98586,0.90567,0.46092,0.28648,0.83945,0.0019665,0.0019665,0.0019665
82,834.306,0.58199,0.42792,0.93097,0.94906,0.98878,0.98709,0.89672,0.47591,0.27507,0.84189,0.0018729,0.0018729,0.0018729
83,845.685,0.56721,0.3968,0.92278,0.94598,0.98948,0.98737,0.9024,0.52442,0.28298,0.85816,0.0017793,0.0017793,0.0017793
84,854.945,0.55827,0.39944,0.92907,0.95926,0.97805,0.98684,0.8969,0.52588,0.30399,0.85522,0.0016857,0.0016857,0.0016857
85,866.357,0.55987,0.38245,0.9208,0.95796,0.98447,0.98846,0.89134,0.53092,0.29064,0.85543,0.00159211,0.00159211,0.00159211
86,875.596,0.56325,0.39618,0.92515,0.95958,0.98719,0.98823,0.91476,0.46537,0.26797,0.83595,0.00149851,0.00149851,0.00149851
87,886.523,0.56067,0.3885,0.92525,0.94996,0.97422,0.98771,0.89052,0.55334,0.3115,0.86955,0.00140491,0.00140491,0.00140491
88,895.527,0.56414,0.3938,0.92717,0.90083,0.99215,0.9881,0.87016,0.63382,0.31486,0.8978,0.00131131,0.00131131,0.00131131
89,906.274,0.5672,0.38241,0.91822,0.95675,0.98623,0.98865,0.87359,0.63136,0.30548,0.89588,0.00121771,0.00121771,0.00121771
90,915.633,0.56161,0.38031,0.92456,0.96138,0.98192,0.98899,0.9087,0.4714,0.26476,0.8417,0.00112412,0.00112412,0.00112412
91,925.434,0.40425,0.22561,0.82979,0.95793,0.98413,0.98975,0.89832,0.50952,0.27123,0.85193,0.00103052,0.00103052,0.00103052
92,933.31,0.38235,0.22272,0.82373,0.95802,0.98919,0.98962,0.90199,0.49602,0.27098,0.84571,0.000936922,0.000936922,0.000936922
93,942.862,0.38655,0.22319,0.83365,0.95978,0.98978,0.98961,0.90525,0.44528,0.25931,0.8376,0.000843324,0.000843324,0.000843324
94,950.478,0.37974,0.21856,0.82622,0.95893,0.99002,0.98803,0.91866,0.42016,0.25404,0.8272,0.000749727,0.000749727,0.000749727
95,959.942,0.3854,0.22307,0.82988,0.95976,0.99048,0.9879,0.92826,0.38873,0.25929,0.81919,0.000656129,0.000656129,0.000656129
96,967.956,0.39679,0.22311,0.83281,0.95449,0.99086,0.98798,0.92076,0.39658,0.24729,0.82148,0.000562531,0.000562531,0.000562531
97,977.84,0.37759,0.2117,0.83263,0.95105,0.99105,0.98795,0.91882,0.42943,0.2548,0.82918,0.000468934,0.000468934,0.000468934
98,985.756,0.37235,0.21165,0.82427,0.95576,0.99106,0.98797,0.92472,0.40665,0.24175,0.82345,0.000375336,0.000375336,0.000375336
99,995.482,0.3631,0.20399,0.82829,0.95152,0.99172,0.98823,0.92301,0.40623,0.23861,0.82309,0.000281738,0.000281738,0.000281738
100,1003.03,0.36704,0.21033,0.82866,0.95271,0.99098,0.98804,0.92785,0.39903,0.23849,0.82016,0.000188141,0.000188141,0.000188141
