epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.24473,1.76128,5.47108,1.98671,0.51881,0.08415,0.0766,0.05294,1.27302,4.27462,1.39432,8.88357e-05,8.88357e-05,0.0770888
2,18.0858,1.09852,2.40769,1.29385,0.396,0.39286,0.32346,0.18498,1.61994,2.81329,1.58492,0.000179737,0.000179737,0.0531797
3,28.3503,1.037,1.97318,1.22878,0.42162,0.65209,0.57338,0.35366,1.59073,1.99503,1.44147,0.000268802,0.000268802,0.0292688
4,36.5321,1.08132,1.65793,1.20029,0.70939,0.64855,0.70979,0.42311,1.67941,1.56122,1.43231,0.000356032,0.000356032,0.00535603
