epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1609,1.42359,3.8564,1.46524,0.00019,0.05,0.00014,6e-05,2.26722,133.145,9.50338,0.00162315,0.00162315,0.068999
2,22.3174,1.43318,3.19031,1.42368,0.18694,0.08992,0.00113,0.00045,nan,nan,nan,0.00324909,0.00324909,0.0372916
3,35.8316,1.33585,2.81394,1.34926,0.02421,0.04651,0.0116,0.00464,nan,nan,nan,0.0048422,0.0048422,0.00555142
4,47.4347,1.36977,2.5228,1.3812,0.02359,0.02326,0.00091,0.00029,2.1025,141.934,2.36685,0.00482754,0.00482754,0.00482754
