epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0534,1.19472,4.19848,1.4962,0.38282,0.3625,0.23121,0.21183,0.45168,2.60883,0.92155,0.000745405,0.000745405,0.0681213
2,30.8927,0.57205,2.26344,1.03736,0.79026,0.40406,0.54165,0.48437,0.53198,1.50955,0.93439,0.00149209,0.00149209,0.0355346
3,47.4461,0.49917,1.6442,0.96167,0.75613,0.48422,0.69219,0.64106,0.42769,1.58669,0.887,0.0022237,0.0022237,0.00293292
4,62.5444,0.50786,1.5438,0.95195,0.6927,0.60913,0.76364,0.70478,0.44883,1.64663,0.89639,0.00221697,0.00221697,0.00221697
