epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.66467,1.53103,8.1808,1.49722,0.42623,0.10357,0.05798,0.05099,0.60175,3.94515,0.94481,0.000102381,0.000102381,0.0891024
2,15.6929,0.58333,2.79832,0.95388,0.32706,0.47454,0.17721,0.15329,0.6403,8.82407,0.92114,0.000211949,0.000211949,0.0772119
3,24.3713,0.49295,1.92016,0.89774,0.33676,0.41173,0.22442,0.19844,0.6126,5.93014,0.93966,0.000319306,0.000319306,0.0653193
4,30.9403,0.48234,1.5376,0.87413,0.31022,0.62192,0.41219,0.37486,0.53153,4.48919,0.88702,0.000424452,0.000424452,0.0534245
