epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1733,0.37063,0.60777,0.82004,0.81559,0.86773,0.92725,0.89886,0.26917,0.61196,0.77582,8.4e-05,8.4e-05,0.072084
2,31.9722,0.34625,0.55169,0.81571,0.94397,0.96853,0.9915,0.96058,0.27296,0.34745,0.77354,0.000170848,0.000170848,0.0431708
3,47.0083,0.36412,0.55634,0.83188,0.90707,0.99501,0.9932,0.96331,0.26977,0.34239,0.77146,0.000257085,0.000257085,0.0142571
4,61.8125,0.34272,0.55206,0.82367,0.92905,0.98303,0.99275,0.96796,0.26478,0.33288,0.76995,0.000297609,0.000297609,0.000297609
5,76.6562,0.35145,0.54244,0.82222,0.93283,0.97824,0.99285,0.97347,0.24074,0.33313,0.76623,0.000295759,0.000295759,0.000295759
6,91.5571,0.31998,0.54312,0.82457,0.94584,0.96992,0.98985,0.95974,0.26358,0.31526,0.77202,0.000293393,0.000293393,0.000293393
7,106.04,0.32552,0.49994,0.82513,0.93944,0.98719,0.99355,0.96808,0.24597,0.32245,0.77048,0.00029052,0.00029052,0.00029052
8,121.129,0.32218,0.53504,0.81929,0.94898,0.98843,0.99384,0.97733,0.23139,0.30375,0.7678,0.000287152,0.000287152,0.000287152
9,135.965,0.31641,0.50566,0.81453,0.95174,0.98435,0.99363,0.97576,0.23828,0.30311,0.76789,0.000283301,0.000283301,0.000283301
10,150.706,0.32136,0.49392,0.82137,0.93945,0.98868,0.99386,0.97299,0.23107,0.30406,0.76626,0.000278984,0.000278984,0.000278984
11,165.976,0.31615,0.47346,0.82385,0.96119,0.99562,0.99349,0.97328,0.23795,0.29209,0.7677,0.000274217,0.000274217,0.000274217
12,180.702,0.30948,0.48842,0.81582,0.95802,0.98605,0.99328,0.97072,0.24164,0.29169,0.76744,0.000269019,0.000269019,0.000269019
13,195.554,0.29765,0.45451,0.81032,0.95823,0.99356,0.99295,0.97687,0.23022,0.29278,0.76643,0.000263411,0.000263411,0.000263411
14,210.101,0.3171,0.49684,0.82026,0.94917,0.99226,0.99325,0.97563,0.23146,0.31133,0.76711,0.000257414,0.000257414,0.000257414
15,224.723,0.30985,0.47765,0.82389,0.95355,0.99235,0.99341,0.97936,0.22746,0.29014,0.76626,0.000251052,0.000251052,0.000251052
16,239.551,0.31213,0.44156,0.81121,0.95148,0.99468,0.99355,0.97766,0.22925,0.28663,0.76657,0.000244351,0.000244351,0.000244351
17,254.466,0.2956,0.42387,0.80377,0.96147,0.98958,0.99354,0.98348,0.2182,0.27397,0.76392,0.000237337,0.000237337,0.000237337
18,269.55,0.29789,0.45428,0.81415,0.95249,0.99176,0.99344,0.97855,0.2285,0.28848,0.76575,0.000230037,0.000230037,0.000230037
19,284.48,0.29558,0.46359,0.81639,0.9459,0.99503,0.993,0.97897,0.22306,0.28941,0.76494,0.00022248,0.00022248,0.00022248
20,299.454,0.28969,0.41131,0.8164,0.96642,0.99683,0.99293,0.98021,0.22029,0.26889,0.76497,0.000214697,0.000214697,0.000214697
21,314.315,0.31439,0.47091,0.8189,0.96899,0.99255,0.99296,0.97941,0.21803,0.27597,0.76469,0.000206717,0.000206717,0.000206717
22,329.551,0.29214,0.4253,0.81315,0.97162,0.99282,0.99355,0.97993,0.22294,0.26693,0.76476,0.000198573,0.000198573,0.000198573
23,344.953,0.30002,0.42156,0.8175,0.9751,0.99305,0.99358,0.97843,0.2182,0.26387,0.76456,0.000190296,0.000190296,0.000190296
24,360.233,0.29246,0.4353,0.81986,0.97635,0.99199,0.99344,0.98176,0.21005,0.26228,0.76361,0.00018192,0.00018192,0.00018192
25,375.623,0.29545,0.42563,0.8115,0.97542,0.99003,0.99384,0.98684,0.20647,0.25999,0.76335,0.000173477,0.000173477,0.000173477
26,390.855,0.28296,0.39646,0.80797,0.97497,0.99283,0.99397,0.98293,0.21489,0.25353,0.76415,0.000165,0.000165,0.000165
27,405.838,0.28092,0.38571,0.8107,0.97265,0.99489,0.99386,0.98349,0.20755,0.24537,0.76342,0.000156523,0.000156523,0.000156523
