epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1975,1.95597,4.56243,2.35332,0.53932,0.14785,0.11876,0.08114,1.2349,2.92155,1.26253,0.00146869,0.00146869,0.0784687
2,28.966,0.97727,2.51512,1.29011,0.56867,0.49504,0.49725,0.34543,1.326,2.72249,1.35374,0.00297152,0.00297152,0.0559715
3,45.2243,0.93267,1.86143,1.22149,0.59332,0.6091,0.61388,0.43039,1.25369,2.09727,1.2736,0.004444,0.004444,0.033444
4,59.4006,0.94075,1.61487,1.22156,0.47713,0.64109,0.71211,0.47046,1.44275,2.63247,1.46626,0.00588615,0.00588615,0.0108861
5,75.2113,0.8805,1.51926,1.16733,0.52734,0.74998,0.67813,0.553,0.83412,2.74413,1.08836,0.00613273,0.00613273,0.00613273
6,89.3072,0.92513,1.35933,1.20104,0.69433,0.52152,0.63169,0.48295,0.9633,2.54699,1.17171,0.00606951,0.00606951,0.00606951
7,105.637,0.94711,1.31038,1.20992,0.61337,0.6786,0.67045,0.50089,1.10366,1.96076,1.34097,0.00600629,0.00600629,0.00600629
8,119.924,0.92363,1.1886,1.20384,0.71026,0.79618,0.89482,0.57091,1.39148,1.54515,1.60264,0.00594307,0.00594307,0.00594307
9,136.379,0.93214,1.0842,1.19204,0.58524,0.71056,0.79693,0.58011,1.12117,1.766,1.30667,0.00587986,0.00587986,0.00587986
10,150.651,0.90061,1.03422,1.18846,0.55824,0.6895,0.72231,0.56308,0.9533,1.69663,1.16113,0.00581664,0.00581664,0.00581664
11,167.052,0.93846,1.03692,1.20081,0.79777,0.73666,0.89868,0.63339,1.16122,1.29985,1.31994,0.00575342,0.00575342,0.00575342
12,180.661,0.89962,0.96634,1.18992,0.77251,0.69586,0.86222,0.60242,1.19987,0.98257,1.32873,0.0056902,0.0056902,0.0056902
13,196.36,0.92349,0.99238,1.19608,0.56383,0.84364,0.87709,0.67949,0.95355,1.15003,1.14808,0.00562699,0.00562699,0.00562699
14,210.173,0.87291,0.90346,1.16846,0.82492,0.78843,0.94989,0.74141,0.91404,0.84314,1.14407,0.00556377,0.00556377,0.00556377
15,225.814,0.87241,0.90049,1.17861,0.74442,0.74764,0.87295,0.7188,0.77423,0.98577,1.03735,0.00550055,0.00550055,0.00550055
16,239.732,0.86195,0.82667,1.16034,0.74091,0.72319,0.88881,0.74428,0.75087,0.97983,1.03532,0.00543733,0.00543733,0.00543733
17,255.912,0.86778,0.77674,1.15691,0.66752,0.51244,0.65776,0.49631,0.93885,1.62859,1.1284,0.00537412,0.00537412,0.00537412
18,270,0.89937,0.89771,1.18185,0.789,0.85056,0.95172,0.71796,1.12558,0.8237,1.25496,0.0053109,0.0053109,0.0053109
19,286.343,0.87077,0.82194,1.16966,0.76263,0.83794,0.9131,0.71108,1.01341,0.82912,1.1721,0.00524768,0.00524768,0.00524768
20,300.299,0.88589,0.76725,1.17203,0.74301,0.89445,0.93147,0.73085,0.88011,0.79971,1.09149,0.00518446,0.00518446,0.00518446
21,316.784,0.85264,0.80839,1.15936,0.85763,0.74296,0.90477,0.72042,0.85753,0.78712,1.06031,0.00512125,0.00512125,0.00512125
22,330.876,0.8567,0.7702,1.15625,0.6501,0.73029,0.83848,0.64049,1.01145,1.25768,1.18649,0.00505803,0.00505803,0.00505803
23,347.159,0.86251,0.81372,1.16432,0.71499,0.69693,0.87575,0.63012,1.20482,1.15535,1.29612,0.00499481,0.00499481,0.00499481
24,361.071,0.8407,0.7731,1.15211,0.75121,0.90997,0.98451,0.82553,0.6818,0.5904,0.98737,0.0049316,0.0049316,0.0049316
25,376.659,0.84549,0.7744,1.14994,0.77044,0.79193,0.94479,0.74938,0.90862,0.86004,1.0811,0.00486838,0.00486838,0.00486838
26,391.744,0.83178,0.71273,1.13632,0.64154,0.78752,0.89276,0.69783,1.01143,1.0998,1.14877,0.00480516,0.00480516,0.00480516
27,408.44,0.85087,0.69645,1.14647,0.91348,0.78924,0.94144,0.81533,0.66247,0.66693,0.96752,0.00474194,0.00474194,0.00474194
28,422.19,0.83808,0.6948,1.15355,0.88871,0.89032,0.98975,0.85509,0.60391,0.48579,0.93895,0.00467873,0.00467873,0.00467873
29,437.961,0.80638,0.67736,1.12341,0.85959,0.92331,0.98196,0.82736,0.69065,0.53271,0.9812,0.00461551,0.00461551,0.00461551
30,451.868,0.81991,0.65144,1.12647,0.84322,0.77398,0.91332,0.77111,0.73275,0.77479,1.00228,0.00455229,0.00455229,0.00455229
31,467.609,0.81305,0.66527,1.12592,0.84195,0.93443,0.95854,0.82714,0.64164,0.49,0.96027,0.00448907,0.00448907,0.00448907
32,481.574,0.83158,0.68832,1.14053,0.82785,0.89567,0.97218,0.79737,0.80881,0.54846,1.02726,0.00442586,0.00442586,0.00442586
33,497.414,0.79344,0.6468,1.12119,0.87419,0.84436,0.9497,0.76693,0.81404,0.63137,1.05338,0.00436264,0.00436264,0.00436264
34,511.464,0.81824,0.64973,1.1328,0.81601,0.75025,0.90797,0.66788,1.18558,1.1322,1.2451,0.00429942,0.00429942,0.00429942
35,527.684,0.82262,0.68292,1.11128,0.79577,0.93065,0.95172,0.80316,0.70301,0.54704,0.99824,0.0042362,0.0042362,0.0042362
36,541.517,0.794,0.62104,1.11692,0.7012,0.95596,0.97576,0.81671,0.7451,0.59005,0.99538,0.00417299,0.00417299,0.00417299
37,557.65,0.79759,0.6432,1.12203,0.88709,0.91802,0.98977,0.86094,0.59017,0.40756,0.93139,0.00410977,0.00410977,0.00410977
38,571.782,0.80166,0.63898,1.11644,0.86541,0.92533,0.98137,0.86352,0.56117,0.45049,0.93168,0.00404655,0.00404655,0.00404655
39,588.049,0.79313,0.60659,1.11392,0.85404,0.92594,0.96226,0.81623,0.66352,0.51488,0.96459,0.00398333,0.00398333,0.00398333
40,602.105,0.77356,0.5985,1.10599,0.91894,0.91605,0.96794,0.77003,0.88511,0.52132,1.08475,0.00392012,0.00392012,0.00392012
41,618.111,0.77614,0.58599,1.11363,0.8297,0.94123,0.98217,0.82054,0.70995,0.51429,0.99911,0.0038569,0.0038569,0.0038569
42,632.545,0.78299,0.62754,1.1052,0.92186,0.84645,0.96489,0.74052,1.01718,0.60861,1.15921,0.00379368,0.00379368,0.00379368
43,649.149,0.77044,0.59043,1.09222,0.8596,0.94518,0.9841,0.83911,0.69388,0.43933,0.96194,0.00373046,0.00373046,0.00373046
44,663.215,0.75524,0.57397,1.09703,0.90178,0.82836,0.96911,0.74197,1.05826,0.61591,1.16739,0.00366725,0.00366725,0.00366725
45,679.347,0.77471,0.60601,1.10344,0.83179,0.82974,0.94488,0.7174,1.04564,0.6662,1.19099,0.00360403,0.00360403,0.00360403
46,693.618,0.75986,0.5601,1.0912,0.92898,0.9829,0.98953,0.86029,0.59605,0.40843,0.93899,0.00354081,0.00354081,0.00354081
47,709.57,0.76568,0.58698,1.09835,0.84819,0.88525,0.95487,0.80444,0.76857,0.56103,0.99811,0.0034776,0.0034776,0.0034776
48,723.374,0.74773,0.57471,1.09827,0.94798,0.85942,0.97288,0.84032,0.62175,0.45927,0.93665,0.00341438,0.00341438,0.00341438
49,739.455,0.78064,0.61293,1.10884,0.91929,0.93424,0.97663,0.80354,0.7867,0.48376,1.009,0.00335116,0.00335116,0.00335116
50,753.859,0.76736,0.56369,1.08966,0.91384,0.92697,0.98218,0.8252,0.71281,0.40066,0.97152,0.00328794,0.00328794,0.00328794
51,769.961,0.75362,0.56979,1.09111,0.93883,0.93017,0.98663,0.87478,0.52677,0.34189,0.91303,0.00322473,0.00322473,0.00322473
52,784.12,0.74073,0.52447,1.08378,0.91756,0.96852,0.99182,0.83945,0.67199,0.37692,0.96539,0.00316151,0.00316151,0.00316151
53,799.811,0.7616,0.53649,1.09093,0.89887,0.9384,0.99009,0.85836,0.61822,0.3644,0.93938,0.00309829,0.00309829,0.00309829
54,813.861,0.73401,0.53344,1.07777,0.80837,0.97134,0.9902,0.83245,0.69756,0.41193,0.98051,0.00303507,0.00303507,0.00303507
55,829.997,0.75196,0.56132,1.08935,0.91289,0.87456,0.98833,0.78652,0.92493,0.54173,1.09934,0.00297186,0.00297186,0.00297186
56,844.498,0.7378,0.54527,1.0742,0.91374,0.96153,0.98634,0.87053,0.58797,0.36788,0.92334,0.00290864,0.00290864,0.00290864
57,860.533,0.73596,0.52477,1.07777,0.93294,0.95737,0.98963,0.82298,0.80155,0.3996,1.02223,0.00284542,0.00284542,0.00284542
