epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.19814,1.56506,4.9355,1.61673,0.51463,0.13658,0.11031,0.08771,0.86638,4.28694,1.0375,2.60806e-05,2.60806e-05,0.0770261
2,14.7111,0.95879,2.65503,1.18043,0.64925,0.22151,0.23241,0.17922,1.03767,3.32514,1.08522,5.27676e-05,5.27676e-05,0.0530528
3,23.5963,0.8278,1.92184,1.08565,0.67384,0.50158,0.53113,0.41933,0.9822,1.97543,1.04303,7.89157e-05,7.89157e-05,0.0290789
4,30.7903,0.80646,1.62724,1.07527,0.7774,0.49981,0.63967,0.48371,1.06661,1.48374,1.06737,0.000104525,0.000104525,0.00510452
